,embryoname,embryoidx,phase,phaseidx,imagename-fullpath,fname,trainvaltest,timepoint
0,BC973-4,0,tPB2,0,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN14.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN14.jpeg,train,0
1,BC973-4,0,tPNa,1,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN30.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN30.jpeg,train,1
2,BC973-4,0,tPNf,2,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN105.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN105.jpeg,train,2
3,BC973-4,0,t2,3,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN111.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN111.jpeg,train,3
4,BC973-4,0,t3,4,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN151.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN151.jpeg,train,4
5,BC973-4,0,t4,5,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN153.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN153.jpeg,train,5
6,BC973-4,0,t5,6,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN196.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN196.jpeg,train,6
7,BC973-4,0,t6,7,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN198.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN198.jpeg,train,7
8,BC973-4,0,t7,8,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN202.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN202.jpeg,train,8
9,BC973-4,0,t8,9,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN206.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN206.jpeg,train,9
10,BC973-4,0,t9+,10,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN270.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN270.jpeg,train,10
11,BC973-4,0,tM,11,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN358.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN358.jpeg,train,11
12,BC973-4,0,tSB,12,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN366.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN366.jpeg,train,12
13,BC973-4,0,tB,13,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN397.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN397.jpeg,train,13
14,BC973-4,0,tEB,14,./data/embryo/embryo_dataset/BC973-4/D2015.11.14_S1519_I132_WELL4_RUN402.jpeg,BC973-4/D2015.11.14_S1519_I132_WELL4_RUN402.jpeg,train,14
15,BE413-3,1,tPB2,0,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN3.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN3.jpeg,train,0
16,BE413-3,1,tPNa,1,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN16.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN16.jpeg,train,1
17,BE413-3,1,tPNf,2,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN62.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN62.jpeg,train,2
18,BE413-3,1,t2,3,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN69.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN69.jpeg,train,3
19,BE413-3,1,t4,5,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN106.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN106.jpeg,train,5
20,BE413-3,1,t6,7,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN148.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN148.jpeg,train,7
21,BE413-3,1,t8,9,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN151.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN151.jpeg,train,9
22,BE413-3,1,t9+,10,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN211.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN211.jpeg,train,10
23,BE413-3,1,tM,11,./data/embryo/embryo_dataset/BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN282.jpeg,BE413-3/F0/D2015.05.06_S0115_I647_WELL3_RUN282.jpeg,train,11
