,Unnamed: 0,tau,alpha,t,path,id,timepoint,trainvaltest,t_star
0,0,2.530158,1.2328370000000002,-4.6,images/SimulatedData__Reconstruction__starman__subject_s0__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,train,-8.790322598246002
1,1,2.530158,1.2328370000000002,-3.55,images/SimulatedData__Reconstruction__starman__subject_s0__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0,train,-7.495843748246001
2,2,2.530158,1.2328370000000002,-2.49,images/SimulatedData__Reconstruction__starman__subject_s0__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,train,-6.189036528246001
3,3,2.530158,1.2328370000000002,-1.44,images/SimulatedData__Reconstruction__starman__subject_s0__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",3.0,train,-4.8945576782460005
4,4,2.530158,1.2328370000000002,-0.38,images/SimulatedData__Reconstruction__starman__subject_s0__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",4.0,train,-3.5877504582460005
5,5,2.530158,1.2328370000000002,0.67,images/SimulatedData__Reconstruction__starman__subject_s0__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",5.0,train,-2.2932716082460005
6,6,2.530158,1.2328370000000002,1.73,images/SimulatedData__Reconstruction__starman__subject_s0__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",6.0,train,-0.9864643882460004
7,7,2.530158,1.2328370000000002,2.79,images/SimulatedData__Reconstruction__starman__subject_s0__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",7.0,train,0.3203428317539999
8,8,2.530158,1.2328370000000002,3.84,images/SimulatedData__Reconstruction__starman__subject_s0__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",8.0,train,1.614821681754
9,9,2.530158,1.2328370000000002,4.9,images/SimulatedData__Reconstruction__starman__subject_s0__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s0__tp_0__age_-4.60.vtk', 0, 0, 0, 0, 0, 0, 0, 0, 0]",9.0,train,2.921628901754001
10,10,-3.015673,1.087711,-5.24,images/SimulatedData__Reconstruction__starman__subject_s1__tp_0.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,train,-2.4194249454970005
11,11,-3.015673,1.087711,-4.33,images/SimulatedData__Reconstruction__starman__subject_s1__tp_1.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,train,-1.4296079354970002
12,12,-3.015673,1.087711,-3.42,images/SimulatedData__Reconstruction__starman__subject_s1__tp_2.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0,train,-0.4397909254969999
13,13,-3.015673,1.087711,-2.5,images/SimulatedData__Reconstruction__starman__subject_s1__tp_3.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",3.0,train,0.5609031945030001
14,14,-3.015673,1.087711,-1.59,images/SimulatedData__Reconstruction__starman__subject_s1__tp_4.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",4.0,train,1.5507202045030002
15,15,-3.015673,1.087711,-0.68,images/SimulatedData__Reconstruction__starman__subject_s1__tp_5.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.0,train,2.5405372145030003
16,16,-3.015673,1.087711,0.23,images/SimulatedData__Reconstruction__starman__subject_s1__tp_6.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.0,train,3.530354224503
17,17,-3.015673,1.087711,1.14,images/SimulatedData__Reconstruction__starman__subject_s1__tp_7.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.0,train,4.5201712345030005
18,18,-3.015673,1.087711,2.05,images/SimulatedData__Reconstruction__starman__subject_s1__tp_8.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",8.0,train,5.509988244503001
19,19,-3.015673,1.087711,2.97,images/SimulatedData__Reconstruction__starman__subject_s1__tp_9.npy,"['SimulatedData__Reconstruction__starman__subject_s1__tp_0__age_-5.24.vtk', 1, 1, 1, 1, 1, 1, 1, 1, 1]",9.0,train,6.510682364503001
